tweetId	authorId	coordinates	date	text	lemmatizedText
1123542580359245826	396882826	null	2019-05-01 13:00:00	@A_Valenzuela Cogiendo polvo en el cajón... Junto al discman y el laserdisc	@a_valenzuela coger polvo en el cajón junto al discmar el laserdisc
1123542597333659650	301748755	null	2019-05-01 13:00:04	@NaiSarcastica Si este estupido comentario es en serio, eres una idiota.	@naisarcastica si este estupido comentario ser en serio ser uno idiota
1123542610340192258	544390190	null	2019-05-01 13:00:07	🕐  Dindán	dindán
1123542644095954949	866321012283060224	null	2019-05-01 13:00:15	Mi adorado Pancho  #HoracioPancheri	#horaciopancheri mi adorado pancho
1123542648914976768	995738977	[-3.75837, 40.38917]	2019-05-01 13:00:16	Eres aventura y destino Partitura y pergamino Escultura, armadura y camino La mano que me salvo cuando todo esta perdido 🍀 en Contigo https://t.co/ch2zWaWQsw	ser aventura destino partitura pergamino escultura armadur camino el mano que yo salvo cuando todo este perdido en contigo
1123542678380085254	105512008	null	2019-05-01 13:00:23	#1deMayo #DiaDelTrabajador ese día que no pueden celebrar ni @pablocasado_ ni @Santi_ABASCAL por no haber currado en su vida #RumboMoncloaARV	#1demayo #diadeltrabajador @pablocasado @santi_abascal #rumbomoncloaarv ese día que no poder celebrar ni ni por no haber currar en su vida
1123542683874676737	1359858536	null	2019-05-01 13:00:24	@EZascandil @GrupoPPMadrid @AlmeidaPP_ @vox_es Yo entendería que se puedan unir con vox, pero para eso el PP debería asumir postulados de la derecha con las q sacó mayoría absoluta y luego jamás cumplió. Por acercarse al socialismo es que les fue tan mal ahora	@ezascandil @grupoppmadrid @almeidapp @vox_es yo entender que él poder unir con vox pero para ese el pp deber asumir postulado de el derecha con él sacar mayoría absoluto luego jamás cumplir por a al socialismo ser que él ser tanto mal ahora
1123542703302742016	166637822	null	2019-05-01 13:00:29	@Ihsanshade @PorMomentosMGZ @mespaznar @CronicaEnNegro Hombre espero que si me pasa algo @mespaznar me dedique un súper programa especial	@ihsanshade @pormomentosmgz @mespaznar @cronicaennegro @mespaznar hombre esperar que si yo pasar algo yo dedicar uno súper programa especial
1123542703524990977	893897090	null	2019-05-01 13:00:29	6. ** que los votos de VOX se hayan perdido, lo correcto sería decir que los votantes del PP han desperdiciado 32.000 votos que hubieran acortado la diferencia 16 escaños. Por eso es tan importante votar lo que realmente cada español piensa que es lo mejor para España.	que el voto de vox se haber perder el correcto ser decir que el votante del pp haber desperdiciar 32 000 voto que haber acortar el diferencia 16 escaño por ese ser tanto importante votar el que realmente cada español pensar que ser el mejor para españa
1123542713285206016	1254268776	null	2019-05-01 13:00:31	@carmenlindo__ Ah pero que no fue el del sportsfestival? Jajajajajaja  Esa borraxeira! ❤	@carmenlindo ah pero que no ser el del sportsfestival jajajajajar ese borraxeira
1123542737373077506	115156289	[-3.65, 40.45]	2019-05-01 13:00:37	NO NOS HA TOCADO NADA... en Ciudad Lineal, Madrid, Spain https://t.co/PBWOWEGJHy	no yo haber tocar nada en ciudad lineal madrid spain
1123542752413802497	627603028	null	2019-05-01 13:00:41	Muchos, muchos más impuestos, muchos más, que nos los van a pagar los ricos!! y el salario mínimo a 3.500 total os lo vais a llevar en impuestos, así que ¿para qué ser pobre?.  Me encanta el gobierno de izquierdas.	mucho mucho más impuesto mucho más que yo él ir pagar el rico el salario mínimo 500 total tú él vais llevar en impuesto así que para qué ser pobre yo encantar el gobierno de izquierda
1123542759720275969	197457981	null	2019-05-01 13:00:42	Lo estás poniendo todo perdido de caspa, mamarracho.	él estar poner todo perdido de caspa mamarracho
1123542788933505026	301056769	[-3.709, 40.4211]	2019-05-01 13:00:49	@lunnasdj recién llegadas de #ibiza a #MADRID para su set en @teatroKAPITAL ... #inted #dj#music #nativeinstruments #deejay #pioneerwoman #djwoman #vmoda powered by @burn en… https://t.co/jiXxcUQKRY	@lunnasdj #ibiza #madrid @teatrokapital #inted #dj#music #nativeinstruments #deejay #pioneerwoman #djwoman #vmoda @burn recién llegado de para su set en powered by en
1123542805220155393	2223103631	null	2019-05-01 13:00:53	@52municipios Lo cual quiere decir  que tiene un nivel un pelin más  bajo, pero es tal cual. Tiempo al tiempo Alfonso. Ojalá y me equivoque. #SiSePuede 💜 ✊ ✊ 💜.	@52municipios #sisepuede el cual querer decir que tener uno nivel uno pelin más bajo pero ser tal cual tiempo al tiempo alfonso ojalá yo equivocar
1123542826372014080	301748755	null	2019-05-01 13:00:58	Si buscas en el diccionario la palabra “envidia” , te aparece esto: 👇🏼	si busco en el diccionario el palabra “envidia” tú aparecer este 👇🏼
1123542879698345984	310502474	null	2019-05-01 13:01:11	@Luisgarciavaro Muchísimas gracias, bello! 😍 Cuando quieras, aquí estamos 😘😘😘	@luisgarciavaro muchísimo gracias bello cuando querar aquí estar 😘😘😘
1123542940775849985	44923986	[-3.6886388, 40.41989336]	2019-05-01 13:01:26	I'm at Puerta de Alcalá in Madrid https://t.co/rqENiV4fCI https://t.co/2p0GoYFVJq	at puerta de alcalá in madrid
1123542970093826048	51004246	null	2019-05-01 13:01:33	La plantilla de @CarrefourES también ha salido a decir NO al cierre del centro de Las Cañas en #Viana  #1deMayo #1deMayoCCOO	@carrefoures #viana #1demayo #1demayoccoo el plantilla de también haber salir decir no al cierre del centro de el caña en
1123542988305719297	506164502	null	2019-05-01 13:01:37	@IElicegui @20m También lo quiero saber	@ielicegui @20m también él querer saber
1123543011793752067	186588112	null	2019-05-01 13:01:43	Y que este tío no salga en los vengadores....	que este tío no salir en el vengador
1123543026230538243	411853934	[-3.59153483, 40.49134757]	2019-05-01 13:01:46	Bienvenidos á Madrid! 😄 (@ Terminal 4 - @aena in Madrid, Comunidad de Madrid) https://t.co/xcOWD8fKBW	@aena bienvenido madrid terminal in madrid comunidad de madrid
1123543035198038016	1254268776	null	2019-05-01 13:01:48	Ojo que esto engaña, luego se acojona y de la noche a la mañana hasta lueee que solo era un lío.	ojo que este engañar luego él acojonar de el noche el mañana hasta lueer que solo ser uno lío
1123543075396231169	68127225	null	2019-05-01 13:01:58	Ayer fui al #fisio y hoy estoy así... (Kaori Ito by Benjamin Travade, 2010)  Ducha y a comer en familia #mátamecamión https://t.co/ddjlfmUgeD	#fisio #mátamecamión ayer ir al hoy estar así kaori ito by benjamin travadir 2010 duchar comer en familia
1123543087735824384	262150489	null	2019-05-01 13:02:01	@Road_Metrop Muchas gracias	@road_metrop mucho gracia
1123543089874964481	273034019	null	2019-05-01 13:02:01	Habrá que recordar al PSOE todos los días que su triunfo se debe a la izquierda de su partido y a la de muchos votantes de UNIDAS PODEMOS que les votaron para unificar el voto. #rumbomoncloaarv https://t.co/8zZ3vIT2p8	#rumbomoncloaarv haber que recordar al psoe todo el día que su triunfo él deber el izquierda de su partido el de mucho votante de unida poder que él votar para unificar el voto
1123543101111439360	126405654	null	2019-05-01 13:02:04	Amigos, que es eso? Siguiendo a la cava, dignidad ante todo.	amigo que ser ese seguir el cavo dignidad ante todo
1123543109202214912	822385258674819073	null	2019-05-01 13:02:06	🔴Miles de trabajadores se aúnan en las calles de Madrid para luchar por sus derechos @CNTsindicato #DiaDelTrabajo #DiaDelTrabajador 👉Mantente atento y no te pierdas nada en @_Infoactualidad https://t.co/mmjz1FZZT8	@cntsindicato #diadeltrabajo #diadeltrabajador @_infoactualidad 🔴mil de trabajador él aúnar en el calle de madrid para luchar por su derecho 👉mantente atento no tú perdar nada en
