tweetId	authorId	coordinates	date	text	lemmatizedText
1120515370752860160	1075391689911660544	null	2019-04-23 04:30:57	No se lo k me espera pero mis xavales k token madera..	no él él yo esperar pero mi xaval token madera
1120515440525152256	134489453	null	2019-04-23 04:31:13	JAJAJAJAJAJAJAAJAJAJAJAJ	jajajajajajajaajajajajaj
1120515479808901123	395686309	null	2019-04-23 04:31:23	@DriDG7 Ufff me gusta la idea 😍	@dridg7 ufff yo gustar el idea
1120515587124416512	790696661110652928	null	2019-04-23 04:31:48	"LA CUBANA llega al @TeatroCalderonM de Madrid con su nuevo espectáculo ""Adiós Arturo""a partir del 4 de octubre #Teatro #art #actors #comedianlife #comedia #comedy #comedians #instagood #Love  Más información en nuestra web ⬇️⬇️⬇️ https://t.co/FdSEeh5OAa vía @madridinandout"	@teatrocalderonm #teatro #art #actors #comedianlife #comedia #comedy #comedians #instagood #love @madridinandout el cubana llegar al de madrid con su nuevo espectáculo adiós arturo partir del de octubre más información en nuestro web ⬇️⬇️⬇️ vía
1120515859087228928	2237051310	null	2019-04-23 04:32:53	@mrlittlebab Ya sabemos quién es...	@mrlittlebab ya saber quién ser
1120515886715166720	134489453	null	2019-04-23 04:33:00	Cha dejen de referirse a personas con las que salen o lo que fuera como “culos/itos” o sea eso es además de denigrante DESAGRDABLE!   GRACIAS!	cha dejar de referirse persona con el que salir el que ser como “culos/itos” ser ese ser además de denigrante desagrdable gracias
1120516612744974336	1020707524352389125	null	2019-04-23 04:35:53	Como me va a gustar la politica si a la k abres la boca ya te la estan callando Será pq no tengi ni zorra	como yo ir gustar el politica si él abrir el boca ya tú él estar callar ser pq no tener ni zorra
1120516706533814272	15022080	null	2019-04-23 04:36:15	@canelles_eva @martuniki @delPinoE Por no hablar de que en la prueba de talón solo es obligatorio que las comunidades autónomas comprueben la existencia de siete enfermedades. En Madrid son 19 y en Castilla y León sólo las 7 obligatorias. Otra vez desigualdad.	@canelles_eva @martuniki @delpinoe por no hablar de que en el prueba de talón solo ser obligatorio que el comunidad autónomo comprobar el existencia de siete enfermedad en madrid ser 19 en castilla león sólo el obligatorio otro vez desigualdad
1120516947442110464	1020707524352389125	null	2019-04-23 04:37:13	Pero las vivencias no te la dan los libros y con eso me basta pa saber a quien votar	pero el vivencia no tú él dar el libro con ese yo bastar pa saber quien votar
1120516958238191621	15022080	null	2019-04-23 04:37:15	@RamonJimenezMon @canelles_eva @martuniki @delPinoE Lo que ponga en una ley es papel mojado frente a las realidades de los centros de salud.	@ramonjimenezmon @canelles_eva @martuniki @delpinoe el que poner en uno ley ser papel mojado frente el realidad de el centro de salud
1120517140233248768	1179981192	[-3.7058, 40.4203]	2019-04-23 04:37:59	#GanaPabloIglesias acaba de convertirse en TT ocupando la 6ª posición en España. Más en https://t.co/K5DFqpURno https://t.co/0ZD3BBrSr1	#ganapabloiglesias acabar de convertirse en tt ocupar el 6ª posición en españa más en
1120517261893279746	1020707524352389125	null	2019-04-23 04:38:28	k os follen a tos	tú foller to
1120517321230041088	15022080	null	2019-04-23 04:38:42	@AyVeva @marquesdemoya @SolanasDiego Primípara añosa, añado. 🤭🤭🤭	@ayveva @marquesdemoya @solanasdiego primípara añoso añado 🤭🤭🤭
1120517399265140736	1179981192	[-3.7058, 40.4203]	2019-04-23 04:39:00	@Carmen29361238 la 1ª mención de #debatetve aparece en tu TL. ¡Ahora es Tendencia en España! #trndnl	@carmen29361238 #debatetve #trndnl el 1ª mención de aparecer en tu tl ahora ser tendencia en españa
1120517648201154566	1179981192	[-3.7058, 40.4203]	2019-04-23 04:40:00	2.682 cuentas y 2.692 tuits (2545 RTs) en 8 horas convirtieron #ELDEBATEnRTVE en Tendencia. #trndnl	#eldebatenrtve #trndnl 682 cuenta 692 tuits 2545 rts en horas convertir en tendencia
1120517649421750273	1179981192	[-3.7058, 40.4203]	2019-04-23 04:40:00	2.805.983 personas podrían haber visto #ELDEBATEnRTVE desde su 1ª mención hasta convertirse en Tendencia. #trndnl	#eldebatenrtve #trndnl 805 983 persona poder haber ver desde su 1ª mención hasta convertirse en tendencia
1120517650554159105	1179981192	[-3.7058, 40.4203]	2019-04-23 04:40:00	#Top3Apps mientras #ELDEBATEnRTVE se convertía en Tendencia  Twitter for iPhone 47% Twitter Web Client 32% Twitter for Android 19%	#top3apps #eldebatenrtve mientras él convertir en tendencia twitter for iphone 47 twitter web client 32 twitter for android 19
1120517651858690049	1179981192	[-3.7058, 40.4203]	2019-04-23 04:40:01	El tuit con más repercusión de la Tendencia #ELDEBATEnRTVE fue de @RoiMendez: https://t.co/Tc3RmoGhJN (604 RTs) #trndnl	#eldebatenrtve @roimendez #trndnl el tuit con más repercusión de el tendencia ser de 604 rts
1120517653288882176	1179981192	[-3.7058, 40.4203]	2019-04-23 04:40:01	5 cuentas verificadas contribuyeron a convertir #ELDEBATEnRTVE en TT. Algunas de ellas fueron: @24h_tve, @cepedaoficial &amp; @RoiMendez	#eldebatenrtve @24h_tve @cepedaoficial @roimendez cuenta verificado contribuir convertir en tt alguno de él ser amp
1120517913566433281	1179981192	[-3.7058, 40.4203]	2019-04-23 04:41:03	6.513 cuentas y 6.614 tuits (6567 RTs) en 14 minutos convirtieron #GanaPabloIglesias en Tendencia. #trndnl	#ganapabloiglesias #trndnl 513 cuenta 614 tuits 6567 rts en 14 minuto convertir en tendencia
1120518159679750146	158813084	null	2019-04-23 04:42:02	@syntekoficial El Ego solo quiere tener razón. Pero es necesario.	@syntekoficial el ego solo querer tener razón pero ser necesario
1120519246126223360	85229726	null	2019-04-23 04:46:21	@honicersandoval Yo la semana pasada cumplí	@honicersandoval yo el semana pasado cumplir
1120520174296346625	347962906	null	2019-04-23 04:50:02	Dame la vuelta.	damer el vuelta
1120521403789451269	126485224	null	2019-04-23 04:54:55	Wow, ya son casi 10 años con mi carné y aún no se vence ✨ https://t.co/RCgnC9F3zD	wow ya ser casi 10 año con mi carné aún no se vencer
1120521590092050435	2237051310	null	2019-04-23 04:55:40	@la_j_escarlata Y con el kolokón mola más...	@la_j_escarlata con el kolokón mola más
1120521637387022336	206844247	null	2019-04-23 04:55:51	@EMTmadrid me explicáis porque mentís con los tiempos de llegada de los nocturnos? Gracias por hacerme llegar tarde al trabajo, un servicio eficiente que ponga 15 min y llegue en 2 sois la polla. #MierdaDeTransportePublico	@emtmadrid #mierdadetransportepublico yo explicar porque mentír con el tiempo de llegada de el nocturno gracias por h llegar tarde al trabajo uno servicio eficiente que poner 15 min llegar en soi el polla
1120521686183501824	186254173	[-3.68333, 40.4]	2019-04-23 04:56:02	Recorridos por los lugares de Madrid. ESPAÑA. #lifeisatrip #friends #trip #voyager #voyages  #life #live #lifeisatripmx #españa #tijuana #méxico #cdmx #baja #ciudaddeméxico #city #7tetas… https://t.co/jZN9dDcfe6	#lifeisatrip #friends #trip #voyager #voyages #life #live #lifeisatripmx #españa #tijuana #méxico #cdmx #baja #ciudaddeméxico #city #7tetas recorrido por el lugar de madrid españa
1120522215970287616	955940664952442884	null	2019-04-23 04:58:09	#LugePupOut365  Día 253/ Day 253  Para algunos tengo el mismo sex-appeal que una patata, pero sigo siendo Mr Potato  For someone I have the same sex-appeal than a potato, but I'm still being Mr Potato  #bodypositive  #puppyplay #pupplay #humanpup #spain #spainpuppies #España https://t.co/RM7zYyDjuT	#lugepupout365 #bodypositive #puppyplay #pupplay #humanpup #spain #spainpuppies #españa día 253 dar 253 para alguno tener el mismo sex-appeal que uno patata pero seguir ser mr potato for someoner have the same sex-appealmente thaer potato but still being mr potato
1120522337613381632	2724483791	null	2019-04-23 04:58:38	ni yo te merezco ni tu me mereces	ni yo tú merecer ni tu yo merez
1120522451459477510	2237051310	null	2019-04-23 04:59:05	@la_j_escarlata Tendré al camello cerca para aguantarlo mejor...	@la_j_escarlata tener al camello cerca para a mejor
